0:0:0:0:0:0:0:1 - - [16/Feb/2019:15:11:29 +0800] "POST /XiaoyudiApplication/app/trainTest/getSystemStatistics?token=FCZsI6XdIvEPmG4WqshiYg== HTTP/1.1" 404 168 179
0:0:0:0:0:0:0:1 - - [16/Feb/2019:15:11:38 +0800] "POST /app/trainTest/getSystemStatistics?token=FCZsI6XdIvEPmG4WqshiYg== HTTP/1.1" 200 798 1260
0:0:0:0:0:0:0:1 - - [16/Feb/2019:15:14:47 +0800] "POST /app/trainTest/getSystemStatistics?token=FCZsI6XdIvEPmG4WqshiYg== HTTP/1.1" 200 798 171844
0:0:0:0:0:0:0:1 - - [16/Feb/2019:15:18:03 +0800] "POST /app/trainTest/getSystemStatistics?token=FCZsI6XdIvEPmG4WqshiYg== HTTP/1.1" 200 798 132414
0:0:0:0:0:0:0:1 - - [16/Feb/2019:15:19:30 +0800] "POST /app/trainTest/getSystemStatistics?token=FCZsI6XdIvEPmG4WqshiYg== HTTP/1.1" 200 798 3657
0:0:0:0:0:0:0:1 - - [16/Feb/2019:16:08:44 +0800] "GET / HTTP/1.1" 200 3153 341
0:0:0:0:0:0:0:1 - - [16/Feb/2019:16:08:44 +0800] "GET /static/js/jquery-2.1.1.js HTTP/1.1" 200 84247 43
0:0:0:0:0:0:0:1 - - [16/Feb/2019:16:08:44 +0800] "GET /static/css/login/bootstrap.css HTTP/1.1" 200 126970 38
0:0:0:0:0:0:0:1 - - [16/Feb/2019:16:08:44 +0800] "GET /static/css/login/app.css HTTP/1.1" 200 107542 47
0:0:0:0:0:0:0:1 - - [16/Feb/2019:16:08:44 +0800] "GET /static/css/login/simple-line-icons.css HTTP/1.1" 200 11717 61
0:0:0:0:0:0:0:1 - - [16/Feb/2019:16:08:45 +0800] "GET /static/images/login/yudee_bg.png HTTP/1.1" 200 841898 27
0:0:0:0:0:0:0:1 - - [16/Feb/2019:16:09:07 +0800] "POST /manage/account/login HTTP/1.1" 200 221 18986
0:0:0:0:0:0:0:1 - - [16/Feb/2019:16:09:08 +0800] "GET /manage/account/toindexPage HTTP/1.1" 200 19365 54
0:0:0:0:0:0:0:1 - - [16/Feb/2019:16:09:08 +0800] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 117305 10
